Component,Part Number,Description,Quantity
"Y3J2X : Module,Assembly,Base,Dual,I7-X XXX,9560",2RC2N,"INFO,INTEL,N-VPRO,BASE",1
,5FFDN,"ASSY,BASE,NBK,T,D,I7-7700,9560",1
,TX47W,"ASSY,SPKR,RIGHT-LEFT,9550/5510",1
,WDPHM,"LBL,REG,WW,9550/5510",1
,WGVT4,"SRV,DRVR,DISCRT,N17P-G0,9560",1
"WJP04 : MOD,PLCMT,GETS,9560,XPS15,E1",TKG6W,"PLCMT,GETS,9560,XPS15,E1",1
"W753G : Module,Information,Direct Ship,Compal,TSINGMA",Y364G,"INFO,DIRSHP,CMPL,KUNSHAN",1
"TPMW5 : MOD,LBL,INTEL,CI7,7,SML",VRR7N,"LBL,INTEL,CI7,7,SML",1
"TCCMK : Module,Plate,Thermal,M.2 PCIE, 5510/955",88DJK,"PLT,THRM,M.2 PCI,1.5,5510/9550",1
"RN0NJ : MOD,SW,DPK,W10H,HE",5Y1G2,"DPK,W10H,PLUS",1
"RKK5H : Module,Label,Blank,35X10,INS,V ostro,Storage Processor",FDPVN,"LBL,POD,CFIG,3X11,INS,VOS,XP",1
"PYC0K : MOD,SW,W10,EDITION,HOME",CDDD8,"INFO,WIN10,HOME",1
"PNJCF : Module,Adapter,Alternating Cur rent,130W,Delta - Ac Adapt,V2, Pwa Integrated,E5",9TXK7,"ADPT,AC,130W,DLTA,4.5,L6,V2,E5",1
"P6XPR : Module,Software,CRRS,Multiple User Interface",C2N45,"INFO,SW,CRRS,UPDATE",1
,YR2T2,"SRV,SW,CRRS,MUI",1
"P4V68 : MOD,SW,APP,SACLIENT",334CH,"SRV,SW,APP,SACLIENT",1
,K53RM,"INFO,RYLTY,SACLIENT",1
"NH53J : MOD,LCD,15.6FHD,N-TCH,SHARPP",1203M,"LCD,15.6FHD,EDP,AG,FML,SHARP",1
,45G28,"ASSY,CAM,3510/9550",1
,GVJ5X,"ASSY,CVR,HUG-UP,FHD,5510/9550",1
,XNHVP,"INFO,SWSI,LCD,15.6,NON-TCH",1
,Y45H4,"SRV,DRVR,WALL PAPER,FHD,9530",1
"N990H : Module,Information,RETAIL",P637H,"INFO,RETAIL,CCI",1
"N4V2Y : Module,Software,Appian,NETFLIX",0C7WX,"SRV,SW,APP,NETFLIX",1
,44C2D,"INFO,RYLTY,NETFLIX",1
"MTYW0 : Module,Software,Office,Multipl e User Interface,Factory Insta ll",5NM85,"SRV,SW,OFC2016,OPK",1
,7M1KY,"SRV,SW,OFFICE,OPK",1
,HR8X9,"INFO,WINRE-ADDR,3,GB-PTN",1
"MM4KC : MOD,SW,DMC,ROW",HJ69H,"INFO,RYLTY,SCREENOVATE,DMC,ROW",1
,PMGWT,"SRV,SW,DMC",1
"KHCK5 : MOD,INFO,GNRC",W21JJ,"INFO,GNRC,OEM,TRACKING,PN",1
"K9C3W : Module,Software,PKTCLD,Factory  Install",WPPJ3,"SRV,SW,APP,LRN-CTR",1
"K5H4Y : BASE,NBK,XPS,BTX,9560,WW",9872G,"LBL,SVC TAG/EXPRESS CODE,ANW",1
,DF3MX,"INFO,64-BIT,UEFI-MFG,PROCESS",1
,PDYG5,"INFO,SWSI,NB,ULTSM,XPS,9560",1
"JJ8DK : MOD,SW,WIN10,64,ENGLISH,WW",0616F,"INFO,BOOT,GPT,OVERRIDE",1
,D6KX0,"INFO,WINDOWS,10",1
,HNX8N,"INFO,IE@V,110000",1
,KYWGW,"INFO,.NET@V,46000",1
,PJ289,"INFO,VPEPR",1
,PY79K,"INFO,.NET@V,50000",1
,T2673,"Service Charge,Operating      System,Windows XP             OCA-MARKER",1
,TM318,"INFO,SLP2,ENABLE,WINDOWS",1
,V4DPY,"SRV,OS,WIN10,64,ENG",1
,W728F,"SRV,OS,IE,INSTALLER",1
,X0601,"INFO,BYPS,UPTN",1
,X278C,"SRV,OS,DOTNET,INSTALLER",1
,XP9T9,"INFO,BOOT,CNTNR,GPT",1
"J5JXR : Module,Battery,97WHR,Vmware 6 Core Processor,Lithium,Symmetr ic Multiprocessing",98MKC,"Screw,M2X4,K Screw Head,      MS,Black Oxide,Nylox",7
,GPM03,"Battery,Primary,97WHR,Vmware 6 Core Processor,Lithium,Symmetric Multiprocessing",1
"J09W5 : MOD,LBL,ENVMT,ERPLOT3,PLBX,ANW",GPWVP,"LBL,ENVMT,ERPLOT3,PLBX,ALL",1
"HPH9M : MOD,ANT,2X2,1820/8260,9550/5",T16YH,"ASSY,ANT,2X2,9550/5510",1
"HM27D : MOD,CORD,PWR,2.5A,1M,C5,E5,UK",CNJVV,"CORD,PWR,250V,2.5A,1M,C5,E5,UK",1
"GMXR6 : Module,Information,Label,Print  On Demand,Dell Energy Offerin g,Energy Star",51H8W,"INSTR,ODM,POD,LBL,DEO,ESTAR",1
,9XP3W,"INFO,LBL,DEO,ESTAR",1
"FK3C5 : Module,Software,KS,Registratio n",1WY72,"INFO,SW,KS,RGTN",1
,KNG45,"SRV,SW,APP,KS,RGTN",1
"FFT0X : Service Install Module,Softwar e,Extreme Performance System,9 560",07HF9,"SRV,DRVR,ESTR,XLOB",1
,0PW7F,"SRV,DRVR,SGX",1
,0WJWR,"SRV,SW,EXCAL-SOS/DDRE,BASE",1
,2TP81,"SRV,DRVR,USB,LAN,9560/5520",1
,2XW6D,"SRV,DRVR,USB3.0,TRINITY,TB16",1
,57154,"Service Charge,Software,      Windows 98,Fully Integrated   System Test",1
,6CVXH,"SRV,SW,EXCAL,WIN-CMPNT",1
,78FMX,"SRV,DRVR,FFS,9560/5520",1
,81HXT,"SRV,SW,MS,RMTDT",1
,87FX4,"SRV,DRVR,HID,9560/5520",1
,9JTWW,"SRV,DRVR,AUDIOTRINITYTB16,WD15",1
,F1YP8,"SRV,DRVR,UMA,9560/5520",1
,HCM1M,"SRV,DRVR,IRST,COMBO,9560/5520",1
,HXD2J,"SRV,DRVR,DPTF,9560/5520",1
,M3C3H,"INFO,RYLTY,WAVES-MAXX,AUD,PRO",1
,RDTKG,"SRV,DRVR,THUNDERBOLT,9560/5520",1
,RMVW1,"SRV,DRVR,SERIAL IO,9560/5520",1
,TCRC7,"SRV,DRVR,CARD RDR,9560/5520",1
,TM1M8,"SRV,DRVR,REALTEK-AUDIO,9560/55",1
,TVCJ7,"SRV,DRVR,LAN,TRINITY,TB16",1
,WG5NX,"SRV,DRVR,CHIPSET,9560/5520",1
,WXM2C,"SRV,BIOS RECOVERY 2",1
"DT3NM : Module,Setting/Settings,Middle  East,DISABLE,BERL-MLK",G43YF,"SRV,SW,ME11,6MB,BERL-MLK",1
,G451F,"LBL,STNG,MGMT,MEBX,DISABLE,3",1
,MDK25,"INFO,MGMT,INTEL,ME,DISABLE",1
,WXV1N,"INFO,RYLTY,ME,DISABLE,BERL-MLK",1
"DCD38 : MOD,DIMM,16GB,2X8G,2400,N-ECC",MKYF9,"DIMM,8GB,2400,1RX8,8G,DDR4,S",2
"CWF0W : Module,Software,DELL-UPDATE",58R15,"SRV,SW,DELL-UPDATE",1
"C856H : Module,Information,Generic Retail",864KE,"Information,PLACEHOLDER       PIECE-PART",1
"85Y47 : Module,Software,COMMONBUILD,Ac ross Line Of Business",4F6WW,"SRV,SW,MCAFEE,COMMONBUILD,M",1
,FD09N,"SRV,SW,MCAFE,CB,LIVESAFE,WIN10",1
,GVXWF,"INFO,SW,COMMONBUILD,30DAY",1
,M8192,"SRV,SW,MCAF-SCTY,UPDATES",1
,V7CT5,"SRV,SW,MCAFEE,COMMONBUILD",1
"787MD : MOD,SHP MTL,BOX,XPS/P,RTL",3DJVK,"SHP MTL,SYSM,WRAP,NB,XPS/P 15",1
,7G1N9,"KIT,SHP MTL,SYSM,XPS/P 15,WW",1
,93RKD,"SHP MTL,CSHN,EPE,XPS/P 15,BTM",1
,DJTXV,"SHP MTL,BOX,SYSM,ACC,XPS/P 15",1
,GKG5C,"SHP MTL,CSHN,EPE,XPS/P 15,T,RT",1
,V84DT,"SHP MTL,CSHN,EPE,XPS/P 15,T,LF",1
,W4HVD,"SHP MTL,BOX,SYS,XPS/P15,RTL",1
"57Y85 : MOD,KYBD,81,UK,M15NSC-BU",R9T05,"INFO,KYBD,BLIT,XLOB",1
,VC22N,"KYBD,81,UK,M15NSC-BU",1
"4XMG3 : Module,Software,PULSE",7VDFT,"SRV,SW,OTB,SURV",1
"40HKW : Module,Software,DROPBOX,Factor y Install",0K1F2,"SRV,SW,DROPBOX",1
,29GT3,"INFO,RYLTY,DROPBOX,FI",1
"3KWGW : MOD,GDE,PROD,MUI,SERI,EMEA 2",T1X53,"TSH,REG,EU,RED,WW",1
,YWKX2,"GDE,PROD,MUI,SERI,EMEA 2",1
"3CM4Y : MOD,SW,DRE,CSMB",2NMGP,"INFO,WINRE-ADDR,10,GB-PTN",1
,W171T,"SRV,SW,DDRE,CSMB",1
"2V067 : Module,Solid State Drive,512,P 34,80S3,Technical Sheet,XG4",2HMFM,"INFO,C DRIVE,PCIESSD",1
,7VPP2,"SSDR,512G,P34,80S3,TSH,XG4",1
"2K52C : Service Install Module,Softwar e,KILLER,N1535,9560",R5022,"SRV,DRVR,KILLER,N1535,WL,9560",1
,RTDFP,"SRV,DRVR,KILLER,N1535,BT,9560",1
"241WT : MOD,PLMRST,W/O FPR,81,9560/552",KKD96,"ASSY,PLMRST,W/O FPR,81,9560/55",1
"0P1H1 : MOD,SW,QFE,WIN10",0RR64,"SRV,SW,JUMPSTART,W10",1
,D6KX0,"INFO,WINDOWS,10",1
,GYTDF,"SRV,SW,WIN10,RDX",1
,NGC17,"SRV,WINDOWS,REG,PWR",1
,X7V4Y,"INFO,RYLTY,W10,DOLBY5.1,CODEC",1
"08Y8M : MOD,CRD,NTWK,KILLER,N1535,WW",G13K7,"CRD,WRLES,KILLER,N1535,WW",1
,NN1H6,"LBL,REG,WRLES,N1535,WW,CSMB",1
