Component,Part Number,Description,Quantity
817-BBER : TPM Included,W21JJ,"INFO,GNRC,OEM,TRACKING,PN",1
817-BBBC : Not selected in this configura tion,W21JJ,"INFO,GNRC,OEM,TRACKING,PN",1
800-BBGF : BTO Standard shipment Air,DMKJV,"INFO,INBOUND,AIRSHIP,LARGE",1
799-AAMQ : Dell Order Information,W21JJ,"INFO,GNRC,OEM,TRACKING,PN",1
658-BDMI : Additional Software 9560 - Com mercial (Windows),9WV3G,"INFO,.NET@V,35000,SP1",1
,CRT9V,"SRV,SW,DCPM",1
,GFGV0,"SRV,SW,DCU,APP",1
,Y364G,"INFO,DIRSHP,CMPL,KUNSHAN",1
,GPWVP,"LBL,ENVMT,ERPLOT3,PLBX,ALL",1
,81HXT,"SRV,SW,MS,RMTDT",1
,78FMX,"SRV,DRVR,FFS,9560/5520",1
,9JTWW,"SRV,DRVR,AUDIOTRINITYTB16,WD15",1
,87FX4,"SRV,DRVR,HID,9560/5520",1
,F1YP8,"SRV,DRVR,UMA,9560/5520",1
,HXD2J,"SRV,DRVR,DPTF,9560/5520",1
,HCM1M,"SRV,DRVR,IRST,COMBO,9560/5520",1
,RDTKG,"SRV,DRVR,THUNDERBOLT,9560/5520",1
,M3C3H,"INFO,RYLTY,WAVES-MAXX,AUD,PRO",1
,TM1M8,"SRV,DRVR,REALTEK-AUDIO,9560/55",1
,TCRC7,"SRV,DRVR,CARD RDR,9560/5520",1
,TVCJ7,"SRV,DRVR,LAN,TRINITY,TB16",1
,WXM2C,"SRV,BIOS RECOVERY 2",1
,RMVW1,"SRV,DRVR,SERIAL IO,9560/5520",1
,WG5NX,"SRV,DRVR,CHIPSET,9560/5520",1
,334CH,"SRV,SW,APP,SACLIENT",1
,2NMGP,"INFO,WINRE-ADDR,10,GB-PTN",1
,K53RM,"INFO,RYLTY,SACLIENT",1
,YWKGK,"SRV,SW,DDRE,BIZC",1
,9XP3W,"INFO,LBL,DEO,ESTAR",1
,07HF9,"SRV,DRVR,ESTR,XLOB",1
,0PW7F,"SRV,DRVR,SGX",1
,2TP81,"SRV,DRVR,USB,LAN,9560/5520",1
,0WJWR,"SRV,SW,EXCAL-SOS/DDRE,BASE",1
,57154,"Service Charge,Software,      Windows 98,Fully Integrated   System Test",1
,2XW6D,"SRV,DRVR,USB3.0,TRINITY,TB16",1
,6CVXH,"SRV,SW,EXCAL,WIN-CMPNT",1
,51H8W,"INSTR,ODM,POD,LBL,DEO,ESTAR",1
658-BDLK : Killer 1535 Wireless Driver,RTDFP,"SRV,DRVR,KILLER,N1535,BT,9560",1
,R5022,"SRV,DRVR,KILLER,N1535,WL,9560",1
"631-ABIB : Intel(R) non-vPro(TM) Technolo gy,9560",G451F,"LBL,STNG,MGMT,MEBX,DISABLE,3",1
,G43YF,"SRV,SW,ME11,6MB,BERL-MLK",1
,WXV1N,"INFO,RYLTY,ME,DISABLE,BERL-MLK",1
,MDK25,"INFO,MGMT,INTEL,ME,DISABLE",1
630-ABBT : Microsoft Office 30 Day Trial - Excludes Office License,5NM85,"SRV,SW,OFC2016,OPK",1
,7M1KY,"SRV,SW,OFFICE,OPK",1
,HR8X9,"INFO,WINRE-ADDR,3,GB-PTN",1
620-ABBW : Windows 10 Pro OS Recovery 64b it - USB,VJ3VF,"Kit,Software,Universal Serial Bus,W10P,64,Rest Of World,316",1
"619-AIGV : Windows 10 Pro (64 Bit), Engli sh, Dutch, French, German, Ita lian",D6KX0,"INFO,WINDOWS,10",1
,0RR64,"SRV,SW,JUMPSTART,W10",1
,GYTDF,"SRV,SW,WIN10,RDX",1
,X7V4Y,"INFO,RYLTY,W10,DOLBY5.1,CODEC",1
,NGC17,"SRV,WINDOWS,REG,PWR",1
,9NGMV,"LBL,GML,MS,OS,WINDOWS",1
,PJ289,"INFO,VPEPR",1
,KYWGW,"INFO,.NET@V,46000",1
,PY79K,"INFO,.NET@V,50000",1
,TM318,"INFO,SLP2,ENABLE,WINDOWS",1
,T2673,"Service Charge,Operating      System,Windows XP             OCA-MARKER",1
,W728F,"SRV,OS,IE,INSTALLER",1
,X278C,"SRV,OS,DOTNET,INSTALLER",1
,X0601,"INFO,BYPS,UPTN",1
,22C12,"DPK,WIN10,PRO",1
,XP9T9,"INFO,BOOT,CNTNR,GPT",1
,GMFF7,"INFO,WIN,PRO",1
,00VV1,"SRV,SW,MS,LINKEDIN",1
,5566H,"SRV,OS,WIN10,64,MUI,BNLX/SWI",1
,HNX8N,"INFO,IE@V,110000",1
,D588J,"INFO,XTRA-LANG@V,DUT",1
,F314J,"INFO,XTRA-LANG@V,ITL",1
,0616F,"INFO,BOOT,GPT,OVERRIDE",1
,G174J,"INFO,XTRA-LANG@V,ENG",1
,G424J,"INFO,XTRA-LANG@V,FR",1
,H141J,"INFO,XTRA-LANG@V,GER",1
,J471G,"SRV,OS,MUI,INSTALLER",1
,D6KX0,"INFO,WINDOWS,10",1
580-AEFO : Internal UK/Irish Qwerty Backl it Keyboard,VC22N,"KYBD,81,UK,M15NSC-BU",1
,R9T05,"INFO,KYBD,BLIT,XLOB",1
555-BDEY : Killer 1535 802.11ac 2x2 WiFi and Bluetooth,NN1H6,"LBL,REG,WRLES,N1535,WW,CSMB",1
,G13K7,"CRD,WRLES,KILLER,N1535,WW",1
,T16YH,"ASSY,ANT,2X2,9550/5510",1
525-10263 : McAfee Business Protection 1-y ear,GJNVK,"INFO,SW,RYLTY,MCAFEE,12M,CRRS",1
490-BDMW : NVIDIA(R) GeForce(R) GTX 1050 with 4GB GDDR5 graphics memory,W21JJ,"INFO,GNRC,OEM,TRACKING,PN",1
451-BBYB : 6-cell 97 Whr Lithium Ion batt ery with ExpressCharge™,98MKC,"Screw,M2X4,K Screw Head,      MS,Black Oxide,Nylox",7
,GPM03,"Battery,Primary,97WHR,Vmware 6 Core Processor,Lithium,Symmetric Multiprocessing",1
450-AGED : 130W Power Adapter,V363H,"Adapter,Alternating Current,130W,Chicony Corp,4.5,Pwa Integrated,V2,E5",1
450-AAQO : E5 UK Power Cord,CNJVV,"CORD,PWR,250V,2.5A,1M,C5,E5,UK",1
400-APWK : 512GB PCIe Solid State Drive,2HMFM,"INFO,C DRIVE,PCIESSD",1
,88DJK,"PLT,THRM,M.2 PCI,1.5,5510/9550",1
,70KCW,"SSDR,512G,P34,80S3,TSH,XG5",1
391-BCHR : 15.6 FHD (1920 x 1080) Infini tyEdge,45G28,"ASSY,CAM,3510/9550",1
,1203M,"LCD,15.6FHD,EDP,AG,FML,SHARP",1
,XNHVP,"INFO,SWSI,LCD,15.6,NON-TCH",1
,GVJ5X,"ASSY,CVR,HUG-UP,FHD,5510/9550",1
,Y45H4,"SRV,DRVR,WALL PAPER,FHD,9530",1
389-BLST : Intel(R) Core(TM) i7 Processor  Label,VRR7N,"LBL,INTEL,CI7,7,SML",1
370-ACSE : 16GB (2x8GB) DDR4 at 2400MHz,MKYF9,"DIMM,8GB,2400,1RX8,8G,DDR4,S",2
346-BCEY : Palmrest for 81-key keyboard N on Finger Print Reader,KKD96,"ASSY,PLMRST,W/O FPR,81,9560/55",1
340-BKXP : XPS15 Shipping Material - Dire ct Only,7G1N9,"KIT,SHP MTL,SYSM,XPS/P 15,WW",1
,2J81W,"INFO,MIN-CONFIG,NB,BIZ,DAO",1
,3DJVK,"SHP MTL,SYSM,WRAP,NB,XPS/P 15",1
,DJTXV,"SHP MTL,BOX,SYSM,ACC,XPS/P 15",1
,GKG5C,"SHP MTL,CSHN,EPE,XPS/P 15,T,RT",1
,93RKD,"SHP MTL,CSHN,EPE,XPS/P 15,BTM",1
,X3GFX,"SHP MTL,BOX,SYS,OTR,XPS/P15,WW",1
,V84DT,"SHP MTL,CSHN,EPE,XPS/P 15,T,LF",1
340-BKPN : XPS 15 Placemat,1FDRW,"PLCMT,GETS,9560,XPS15,D/B/E",1
"340-ACCX : English, French, German, Itali an, Dutch Shipping Docs",T1X53,"TSH,REG,EU,RED,WW",1
,YWKX2,"GDE,PROD,MUI,SERI,EMEA 2",1
"338-BLDO : 7th Generation Intel(R) Core(T M) i7-7700HQ Quad Core Process or (6M cache, up to 3.8 GHz)",5FFDN,"ASSY,BASE,NBK,T,D,I7-7700,9560",1
,WDPHM,"LBL,REG,WW,9550/5510",1
,WGVT4,"SRV,DRVR,DISCRT,N17P-G0,9560",1
,TX47W,"ASSY,SPKR,RIGHT-LEFT,9550/5510",1
,2RC2N,"INFO,INTEL,N-VPRO,BASE",1
